Repeating words      |  Times repeated  |  Rows
beasts               |  2               |  224 
because              |  2               |  148 219 
become               |  5               |  127 166 170 172 176 
been                 |  7               |  58 60 100 211 245 267 
began                |  3               |  182 240 
begin                |  2               |  166 176 
being                |  7               |  87 96 100 108 174 237 245 
belonging            |  4               |  98 273 279 284 
below                |  2               |  108 240 
between              |  10              |  54 65 114 116 136 170 184 228 
birth                |  4               |  65 136 141 
birthing             |  2               |  136 
black                |  4               |  108 146 147 189 
body                 |  4               |  43 85 86 116 
bond                 |  3               |  184 
bone                 |  2               |  85 86 
both                 |  3               |  237 240 
bred                 |  2               |  240 
broader              |  2               |  87 245 
brown                |  3               |  108 189 
bubble               |  3               |  240 
burden               |  3               |  224 233 
but                  |  9               |  54 114 116 141 143 176 233 237 
buttock              |  2               |  85 86 
by                   |  18              |  14 43 52 58 83 87 100 118 136 166 170 176 224 235 237 
called               |  2               |  54 65 
camel                |  5               |  52 267 291 
camelid              |  3               |  14 60 290 
camelids             |  6               |  45 60 120 
camels               |  10              |  54 60 83 96 116 279 285 
can                  |  13              |  43 65 141 143 168 170 189 
canine               |  2               |  83 
canines              |  2               |  71 130 
cannon               |  2               |  85 86 
captures             |  2               |  216 217 
causes               |  2               |  211 237 
century              |  5               |  45 237 240 
certain              |  2               |  100 211 
certified            |  2               |  168 
characteristics      |  6               |  54 60 67 98 100 116 
cheek                |  2               |  85 86 
classified           |  2               |  60 285 
closely              |  3               |  98 184 240 
colon                |  2               |  120 
color                |  2               |  108 116 
colors               |  2               |  108 189 
come                 |  2               |  47 100 
commercial           |  2               |  148 240 
commonly             |  2               |  100 182 
compartments         |  4               |  118 170 
complex              |  2               |  118 120 
consist              |  3               |  52 54 83 
contribute           |  2               |  211 257 
cost                 |  2               |  148 186 
cria                 |  7               |  65 123 124 136 141 
croup                |  2               |  85 86 
cultural             |  2               |  243 
cultures             |  2               |  14 218 
curved               |  4               |  83 96 116 
dated                |  2               |  214 215 
day                  |  2               |  143 233 
de                   |  3               |  123 124 233 
decline              |  2               |  237 240 
depicted             |  2               |  221 226 
deposits             |  2               |  58 267 
descended            |  4               |  45 100 114 
determined           |  2               |  141 211 
diameter             |  2               |  193 194 
died                 |  2               |  60 240 
differ               |  2               |  83 110 
different            |  2               |  127 189 
distinct             |  3               |  54 96 100 
distinctive          |  2               |  100 267 
distinguished        |  2               |  60 100 
do                   |  7               |  116 118 125 127 133 170 172 
domestic             |  5               |  52 56 57 108 237 
domesticated         |  7               |  4 14 52 100 114 267 
dorsal               |  2               |  92 96 
down                 |  3               |  130 170 233 
dressed              |  2               |  50 51 
dromedary            |  3               |  285 291 
dry                  |  4               |  150 153 
due                  |  3               |  87 136 240 
during               |  5               |  45 58 136 279 
each                 |  15              |  54 83 96 98 110 114 143 166 170 172 186 
early                |  4               |  52 58 60 182 
ears                 |  6               |  85 86 96 116 174 
edge                 |  3               |  83 176 
effective            |  2               |  184 
either               |  2               |  100 273 
elbow                |  2               |  85 86 
end                  |  4               |  45 47 60 240 
especially           |  2               |  67 267 
eventoed             |  7               |  54 267 273 279 284 285 291 
every                |  2               |  143 186 
extinct              |  3               |  45 58 
extinction           |  2               |  237 
extremely            |  4               |  114 120 166 
family               |  4               |  54 172 285 
fed                  |  4               |  136 153 
feet                 |  2               |  54 96 
female               |  8               |  125 133 136 141 143 
females              |  5               |  65 127 136 139 170 
feral                |  2               |  182 279 
fetlock              |  2               |  85 86 
fiber                |  6               |  114 116 189 202 224 240 
field                |  2               |  141 
fights               |  2               |  170 
first                |  6               |  83 125 136 231 232 240 
five                 |  2               |  273 
flank                |  2               |  85 86 
followed             |  3               |  83 118 
food                 |  3               |  118 120 267 
for                  |  26              |  11 43 65 114 118 125 130 136 141 143 148 150 170 186 189 221 224 233 240 257 267 
form                 |  2               |  172 226 
forms                |  4               |  58 60 100 
fossil               |  3               |  58 60 279 
found                |  5               |  54 58 60 228 279 
four                 |  2               |  100 118 
frequently           |  2               |  136 221 
from                 |  33              |  43 45 47 54 60 83 100 106 110 114 120 136 150 170 189 191 192 214 215 216 217 219 233 237 240 
ft                   |  2               |  65 
further              |  3               |  60 170 240 
game                 |  2               |  245 
games                |  2               |  245 
gaskin               |  2               |  85 86 
general              |  2               |  60 98 
generally            |  4               |  52 83 87 116 
genus                |  6               |  52 58 98 267 291 
girl                 |  2               |  50 51 
give                 |  2               |  136 257 
glama                |  7               |  14 34 36 41 43 52 104 
gland                |  2               |  85 86 
goat                 |  4               |  136 184 201 207 
goats                |  2               |  118 184 
grey                 |  2               |  108 189 
group                |  3               |  52 279 285 
growing              |  2               |  148 168 
guanaco              |  10              |  52 106 108 110 114 136 
guanicoe             |  3               |  52 106 
guard                |  5               |  182 184 189 240 
guarding             |  2               |  180 181 
guards               |  2               |  182 186 
had                  |  2               |  224 240 
hair                 |  2               |  189 203 
has                  |  11              |  52 60 108 110 114 186 219 228 233 245 279 
have                 |  22              |  45 54 58 60 100 116 118 120 125 133 168 182 189 211 245 267 
having               |  2               |  83 96 
hay                  |  2               |  150 
head                 |  3               |  65 110 116 
heel                 |  2               |  85 86 
helps                |  2               |  143 
her                  |  2               |  123 124 
herd                 |  6               |  43 136 170 
high                 |  2               |  118 143 
hip                  |  2               |  85 86 
history              |  3               |  58 243 279 
hock                 |  2               |  85 86 
however              |  2               |  52 170 
hueques              |  3               |  235 237 
hum                  |  2               |  133 172 
human                |  2               |  143 170 
humans               |  2               |  127 166 
hump                 |  3               |  96 116 291 
humps                |  2               |  116 267 
ice                  |  2               |  45 58 
if                   |  2               |  54 184 
image                |  2               |  231 232 
important            |  4               |  47 221 228 243 
imported             |  2               |  45 240 
in                   |  110             |  43 45 50 51 52 54 58 60 65 83 96 98 100 108 110 112 120 130 136 141 143 164 165 168 170 180 181 182 184 189 221 226 228 231 232 233 235 237 240 243 245 267 279 285 290 
incisors             |  2               |  67 83 
include              |  2               |  116 148 
individuals          |  2               |  65 100 
inquisitiveness      |  2               |  216 217 
interest             |  2               |  240 
into                 |  6               |  108 125 141 143 170 240 
introduced           |  2               |  184 279 
introduction         |  2               |  233 237 
is                   |  63              |  14 43 47 52 83 96 98 100 108 110 112 114 116 120 125 130 133 136 139 141 143 166 168 170 172 174 176 182 184 186 189 228 237 257 267 279 291 
isolated             |  2               |  83 
it                   |  8               |  47 108 112 120 136 170 237 
its                  |  8               |  87 110 170 184 237 245 267 291 
jaw                  |  2               |  83 
joint                |  2               |  85 86 
jowl                 |  2               |  85 86 
keep                 |  3               |  143 257 
kg                   |  4               |  65 
kicking              |  2               |  166 170 
known                |  6               |  52 96 108 237 267 291 
lack                 |  2               |  240 
lama                 |  2               |  43 52 
lambs                |  2               |  184 
large                |  7               |  120 125 130 228 291 
larger               |  4               |  58 87 116 182 
last                 |  2               |  45 58 
late                 |  4               |  45 237 240 
lb                   |  3               |  65 152 
lead                 |  2               |  166 189 
least                |  2               |  83 141 
left                 |  2               |  139 141 
less                 |  3               |  54 120 136 
little               |  2               |  186 240 
live                 |  5               |  43 52 65 120 172 
livestock            |  7               |  182 184 186 237 240 267 
living               |  2               |  285 290 
llama                |  52              |  14 39 43 50 51 52 56 57 63 64 65 85 86 104 108 120 127 133 136 141 143 146 147 164 165 170 174 176 179 184 186 191 192 219 221 224 226 228 233 235 240 
llamas               |  61              |  45 47 52 58 67 114 116 118 120 125 133 136 143 148 150 166 170 174 182 184 186 211 216 217 221 224 228 231 232 233 240 245 285 
long                 |  8               |  83 96 120 224 243 267 279 
lower                |  3               |  83 118 136 
major                |  2               |  120 148 
male                 |  8               |  83 136 139 141 143 176 182 184 
males                |  6               |  65 127 143 170 184 
mammals              |  5               |  266 272 273 278 284 
many                 |  6               |  108 186 189 224 233 237 
market               |  2               |  240 
mate                 |  3               |  130 143 
materials            |  2               |  170 
mating               |  9               |  125 139 141 143 176 
matter               |  6               |  98 150 153 228 
mature               |  4               |  127 148 166 
may                  |  3               |  136 170 184 
